<120,2781,11564,0.240487720512
<240,1474,6001,0.245625729045
<360,1853,7167,0.258546114134
<480,1990,9652,0.206174886034
<600,3050,12161,0.250801743278
<720,2472,9716,0.254425689584
<840,2812,10716,0.262411347518
<960,2431,10205,0.23821656051
<1080,3553,13805,0.257370517928
<1200,2072,7646,0.270991368036
<1320,2645,15301,0.172864518659
<1440,3671,11828,0.310365235036
<1560,2008,8353,0.240392673291
<1680,2672,9698,0.275520725923
<1800,3818,12648,0.301865907653
<1920,5260,19459,0.270311937921
<2040,8684,31350,0.277001594896
<2160,3435,15062,0.2280573629
total,56681,222332,0.254938560351
