,<2 years experience,>=2 years experience,Overall
0,5340,3685,9025
1,4601,3242,7843
2,3590,1691,5281
3,1773,1388,3161
4,1351,1364,2715
5,1006,909,1915
6,915,840,1755
7,1028,1675,2703
8,2226,3046,5272
9,3507,4625,8132
10,4849,6231,11080
11,5712,7348,13060
12,4967,6553,11520
13,6884,7618,14502
14,7498,9228,16726
15,8547,9024,17571
16,7778,8875,16653
17,7000,7197,14197
18,4806,5249,10055
19,4320,4703,9023
20,4635,4260,8895
21,5082,5070,10152
22,5529,4888,10417
23,4584,4384,8968
Average,107528,113093,220621
