Day,Job,Daily,Weekly,Monthly,Other,Single,Introductions,Job,Daily,Weekly,Monthly,Other,Single,Introduction Count,Total
Mon,0,1177,0,0,3,0,1180,0,4019,0,0,3,0,4022,4761
Tues,0,1144,0,0,1,0,1145,0,4635,0,0,4,0,4639,5075
Wed,0,1005,0,0,0,0,1005,0,3927,0,0,0,0,3927,4523
Thur,0,1187,1,0,1,0,1189,0,4377,9,0,14,0,4400,4987
Fri,0,1181,0,0,0,0,1181,0,4145,0,0,0,0,4145,4891
Sat,0,841,0,0,0,0,841,0,2826,0,0,0,0,2826,3511
Sun,0,855,0,0,2,0,857,0,3281,0,0,2,0,3283,3349
