Hour,Introducing Commits,Commits,% Buggy Commits,P-value
0,2662,9048,0.294208664898,8.109108379401944546659933964892009882894e-18
1,2330,7847,0.296928762584,1.257543166545443617945842302569590500556e-17
2,1635,5300,0.308490566038,5.858441295533743298336542532615339433356e-19
3,824,3168,0.260101010101,0.2415736934709728663891150410035715756824
4,708,2718,0.260485651214,0.2442334458467536586171939218092074833884
5,468,1920,0.24375,0.1448745213046095880371817708575506839708
6,408,1764,0.231292517007,0.01282296269774601897367927927952634599515
7,519,2715,0.191160220994,3.30902479182161306452580510306240711116e-15
8,1024,5319,0.192517390487,6.168520918399010892342503410911537942851e-27
9,1750,8239,0.212404418012,1.991595846024956870485355527784520616333e-19
10,2552,11204,0.227775794359,2.557894521223285069029386233298269945021e-11
11,3136,13182,0.237900166894,5.319113586933018476662827859762137644059e-6
12,2736,11686,0.23412630498,1.722414777945114521973603136454595193072e-7
13,3825,14621,0.261610012995,0.02548479394115446013389521527916568672384
14,4154,16867,0.246279717792,0.006982959017176609348680504066534145722568
15,4548,17761,0.256066662913,0.3217321523582076871515612551498794351088
16,4307,16861,0.255441551509,0.3957144516227500479994312212943461539414
17,3764,14288,0.263437849944,0.007603406546050352125197233888736820622357
18,2547,10086,0.25252825699,0.3269259463100981093488946260457078298757
19,2295,9044,0.253759398496,0.4387739112025937563436428701457684532603
20,2330,8949,0.260364286512,0.1049306799637208716600702878221384513496
21,2812,10223,0.275066027585,1.196265222964863950215265362286867946337e-6
22,2820,10511,0.268290362477,6.61603653475693266534154866919638727289e-4
23,2436,9011,0.270336255687,3.224709780772554623001915441066572534955e-4
Overall,56590,222332,0.254529262544
