,< 2 years experience,,,,>= 2 years experience
Hour,Introducing Commits,Commits,% Buggy Commits,P-value,Introducing Commits,Commits,% Buggy Commits,P-value
0,1766,5307,0.332768042208,1.657012503329015305342479415843338522701e-37,890,3726,0.332768042208,0.0159080585261851357658711847938807194147
1,1552,4628,0.335350043215,5.683294385289583001102815968922957060569e-35,774,3212,0.335350043215,0.04346663643503788553963170909258415412959
2,1226,3556,0.344769403825,2.328055083422173667399242096601516853362e-33,407,1737,0.344769403825,0.02932970664606674958516894707729136228104
3,531,1731,0.306759098787,4.929107806896511859074165076587460418841e-7,291,1432,0.306759098787,3.305689341419614517072209284064298073797e-6
4,370,1296,0.28549382716,0.00576740841292417088933764902648121832299,338,1421,0.28549382716,0.0820581375225941699797440715368390186065
5,308,992,0.310483870968,3.886142086429852597103371249588818942327e-5,160,927,0.310483870968,1.78897176533155631321515244009029397741e-9
6,249,890,0.279775280899,0.04453167446699748611592719483919111472272,158,872,0.279775280899,1.803353508218129215193352896147746243091e-7
7,267,1021,0.261508325171,0.3075948078433786644784491677696465411895,251,1691,0.261508325171,2.745990904198123328566943943248215056732e-26
8,553,2201,0.251249432076,0.3848295399608934789233328889500527077415,469,3109,0.251249432076,1.235866496885305904347519486153175148948e-44
9,928,3451,0.268907563025,0.02546533931686340569634397698968618779129,807,4760,0.268907563025,8.318199920393324039787705809305580479117e-45
10,1309,4736,0.276393581081,2.727310423578736070826920395897522963781e-4,1230,6446,0.276393581081,1.041025542338906061571681632143050019289e-33
11,1634,5628,0.290334044065,4.738590364457419954081947656223410111684e-10,1493,7526,0.290334044065,1.759263948252559994256030369225064004559e-30
12,1385,4934,0.280705310093,1.268383089516019811499963323814324412343e-5,1336,6715,0.280705310093,7.388851570025329620275811332522964602614e-27
13,2032,6717,0.302516004169,2.66065407962754136651864370843749066657e-19,1774,7863,0.302516004169,1.948986871480817580203198371330737130802e-9
14,2109,7271,0.290056388392,2.523674363962401804802894449446192638091e-12,2032,9557,0.290056388392,9.380360041687681998742477391412306969838e-22
15,2579,8481,0.304091498644,2.570066638751253987680760251000957662911e-25,1956,9247,0.304091498644,3.746224238293081618555963944347173792923e-22
16,2370,7674,0.308835027365,3.196061108797242836083608210454297349041e-27,1925,9152,0.308835027365,4.175365305190785751788234673287790209917e-23
17,2129,6916,0.307836899942,6.581385425021129771851534218447215210607e-24,1617,7341,0.307836899942,6.371584728539555643880887539842388381464e-12
18,1363,4681,0.29117709891,5.783584282155961208240497797985576622547e-9,1176,5380,0.29117709891,5.830620414318869389537107719239120474239e-10
19,1184,4125,0.28703030303,9.700828027073173028602373720437827022649e-7,1101,4890,0.28703030303,1.225435380225783162392522510942631631066e-6
20,1338,4573,0.292586923245,2.427545801379047321379528054994303080956e-9,983,4353,0.292586923245,7.134581157150796212001360460990073319863e-6
21,1575,5015,0.31405782652,1.110544163197511001929797054129376539265e-21,1227,5172,0.31405782652,0.002488630587624174548542448029609401578734
22,1632,5449,0.299504496238,2.618285008522817623324457195036267293072e-14,1181,5035,0.299504496238,6.528650956128346249799455206294937201337e-4
23,1392,4572,0.304461942257,1.139546182605172457715437060093672540507e-14,1039,4423,0.304461942257,0.001557962345146614245866145954553210779629
Category Overall,31781,105845,0.300259813879,,24615,115987,0.212222059369
Overall,56396,221832,0.254228425115
