Experience,Introducing Commits,Commits,% Buggy Commits,P-value
120,499,1753,0.284654877353,3.181362635853378702165180017538906497024e-6
240,392,1298,0.302003081664,6.472868713360342291281219684893212633926e-8
360,481,1570,0.306369426752,2.885669479395525622518346112571553643677e-10
480,327,1127,0.290150842946,2.847853362788857438137741232646280789493e-5
600,446,1454,0.30674002751,1.030903883704322833964796460020872120124e-9
720,377,1203,0.313383208645,1.280901179677358720160848590482151160164e-9
840,319,1026,0.310916179337,5.11643469854647321282035796241166538568e-8
960,307,856,0.358644859813,1.316544512766927304318773055407465809151e-15
1080,268,869,0.308400460299,1.127508990344769406573511663681205553948e-6
1200,261,954,0.27358490566,0.00552825306091236627370927688970791980514
1320,197,725,0.271724137931,0.01819891247166586427837209761032368076012
1440,182,806,0.225806451613,0.2295989853704077969330710495060794216742
1560,216,720,0.3,7.327437688433687413966378266680971216859e-5
1680,230,852,0.269953051643,0.015541415818716232786130664556809269895
1800,218,974,0.223819301848,0.1659030225282327573911851782173898608883
1920,139,932,0.149141630901,1.694714072182234566082741688636247461503e-11
2040,150,711,0.210970464135,0.05091475770834462925955185554662712666775
2160,226,782,0.289002557545,5.369588507229370024035178281880852760172e-4
2280,222,957,0.23197492163,0.3582859967546834468339970195293626026021
2400,154,588,0.261904761905,0.0914751445281912019897529386650938866462
2520,206,769,0.267880364109,0.02783628625372140518040433569512233963557
2640,152,717,0.211994421199,0.0573687196048977861803298799936925763924
2760,155,606,0.255775577558,0.1573891048360418418507764030531341919928
2880,185,764,0.242146596859,0.3968349168632309423839941811083675244507
3000,121,732,0.165300546448,1.128607290257336144642446471773879487773e-6
3120,111,565,0.196460176991,0.01114777677968081148294912617193526160799
3240,157,746,0.210455764075,0.04341784709184406075405455785020913952611
3360,123,828,0.148550724638,1.623792580026588230841272750053526213559e-10
3480,100,558,0.179211469534,5.169884942220342146377474271120174371895e-4
3600,112,714,0.156862745098,7.609934061707701040510403249864351661134e-8
3720,87,589,0.147707979626,4.71297044648828607046369541984545938986e-8
3840,68,608,0.111842105263,2.413788286929412302713098712685277248148e-15
3960,30,421,0.0712589073634,1.512476422219307893141420820259943941617e-19
4080,46,509,0.090373280943,5.843373943155420705610126150475151398737e-18
4200,30,518,0.0579150579151,3.278780495517171002594986155660107059628e-28
4320,27,344,0.078488372093,8.600222129749746141187652081355934396336e-15
4440,15,254,0.0590551181102,2.243056169361729740927602936605343893601e-14
4560,12,170,0.0705882352941,8.438877771725502789656480115037327322304e-9
4680,3,97,0.0309278350515,1.850923636331965140894188877530815942814e-8
4800,1,18,0.0555555555556,0.05008463564771649117001727882754867551211
4920,11,136,0.0808823529412,1.710116639721194512504769404853614556963e-6
5040,5,152,0.0328947368421,2.58231888341975991957536086070225985683e-12
5160,5,50,0.1,0.01175201650037752913386873801292926655924
5280,15,76,0.197368421053,0.2495860263510467752508661454590233136014
5400,0,0,0.0,0.0
Overall,7388,31098,0.23757154801
